user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-29 22:04:55,1715578520802,0.10804725,0.3303429,-0.44819736
ugur,1,2018-03-29 22:04:55,1715524156323,-0.04573834,-0.17065215,0.39847088
ugur,1,2018-03-29 22:04:55,1715469699031,0.20019841,-0.054111004,-0.28479004
ugur,1,2018-03-29 22:04:55,1715416972833,0.098020315,0.022967935,-0.20700645
ugur,1,2018-03-29 22:04:55,1715363533250,0.032990694,0.058148623,-0.025767326
ugur,1,2018-03-29 22:04:55,1715309785906,0.005995989,-0.037367105,0.14818287
ugur,1,2018-03-29 22:04:55,1715256221479,0.111799836,0.08539808,0.09453583
ugur,1,2018-03-29 22:04:55,1715202485646,0.12942994,0.23540878,0.11793804
ugur,1,2018-03-29 22:04:55,1715149769448,-0.028612971,0.27202356,0.27422523
ugur,1,2018-03-29 22:04:55,1715095917677,0.059585094,0.3127619,0.0030536652
ugur,1,2018-03-29 22:04:55,1715041862938,-0.10452187,0.34732962,0.02637577
ugur,1,2018-03-29 22:04:55,1714987507417,0.063483715,0.17201543,-0.22166729
ugur,1,2018-03-29 22:04:55,1714934638719,-0.03544247,0.18487883,-0.18766499
ugur,1,2018-03-29 22:04:55,1714878707886,-0.21136808,-0.078537285,0.4260435
ugur,1,2018-03-29 22:04:55,1714823160802,0.2997886,0.28920734,-0.13149643
ugur,1,2018-03-29 22:04:55,1714768237521,-0.26633716,-0.23469412,0.22539234
ugur,1,2018-03-29 22:04:55,1714714516115,0.20496273,0.25381422,-0.22387218
ugur,1,2018-03-29 22:04:55,1714659144396,0.03873825,0.17500794,-0.030433655
ugur,1,2018-03-29 22:04:55,1714605348302,-0.08769035,0.26455885,0.28952408
ugur,1,2018-03-29 22:04:55,1714552627625,-0.15228522,0.27467287,0.0191288
ugur,1,2018-03-29 22:04:55,1714499286427,0.10352695,0.25570846,0.07419968
ugur,1,2018-03-29 22:04:55,1714445824240,-0.28430253,0.19537288,-0.56269836
ugur,1,2018-03-29 22:04:55,1714393066115,0.04938495,-0.22151554,0.8115721
ugur,1,2018-03-29 22:04:55,1714337957104,-0.085203886,0.34052074,-0.2055769
ugur,1,2018-03-29 22:04:55,1714280533875,0.015744925,0.05472684,0.02362156
ugur,1,2018-03-29 22:04:55,1714227717625,-0.106331944,0.2531501,0.43890762
ugur,1,2018-03-29 22:04:55,1714170667886,-0.07318151,-0.092154086,0.082876205
ugur,1,2018-03-29 22:04:55,1714116568511,-0.14694467,0.39143264,-0.3616171
ugur,1,2018-03-29 22:04:55,1714064347625,-0.110498875,0.3806798,-0.073685646
ugur,1,2018-03-29 22:04:55,1714010935646,0.092699945,0.34011936,-0.11250019
ugur,1,2018-03-29 22:04:55,1713957971428,0.05075513,-0.035129547,0.3906803
ugur,1,2018-03-29 22:04:55,1713904260959,-0.09784375,0.21587348,-0.06564617
ugur,1,2018-03-29 22:04:55,1713851785073,0.15554626,0.041760087,0.4033804
ugur,1,2018-03-29 22:04:55,1713798550073,-0.06924615,0.03566408,-0.23940182
ugur,1,2018-03-29 22:04:55,1713745106532,-0.08167739,-0.030040145,-0.26954746
ugur,1,2018-03-29 22:04:55,1713692615907,-0.114587545,-0.024036825,0.49855042
ugur,1,2018-03-29 22:04:55,1713639959396,0.049743213,0.16276562,0.19960308
ugur,1,2018-03-29 22:04:55,1713586900646,-0.024181359,-0.10095757,0.34187126
ugur,1,2018-03-29 22:04:55,1713533522521,-0.42239663,0.001280725,-0.32853985
ugur,1,2018-03-29 22:04:55,1713478395699,0.39970607,0.26000476,-0.010120392
ugur,1,2018-03-29 22:04:55,1713426305542,-0.032973498,-0.11022383,0.2596321
ugur,1,2018-03-29 22:04:55,1713372312053,0.2309984,0.11700535,-0.14300728
ugur,1,2018-03-29 22:04:55,1713319444761,-0.06282857,-0.2119224,-0.008749008
ugur,1,2018-03-29 22:04:55,1713266917522,0.009362817,0.3081119,0.49509716
ugur,1,2018-03-29 22:04:55,1713212350178,-0.03309685,0.49150956,-0.2724495
ugur,1,2018-03-29 22:04:55,1713158621011,-0.29814696,0.0020655394,0.046718597
ugur,1,2018-03-29 22:04:55,1713104790959,0.6666942,-0.5915359,0.9017801
ugur,1,2018-03-29 22:04:55,1713052442001,-0.22003037,-0.18508327,-0.95112705
ugur,1,2018-03-29 22:04:55,1712999548043,-0.36162597,-0.27602828,0.77893543
ugur,1,2018-03-29 22:04:55,1712945329761,0.75588673,-0.5878136,0.46517944
ugur,1,2018-03-29 22:04:55,1712893095022,-0.028922677,-0.9825331,-0.6580229
ugur,1,2018-03-29 22:04:55,1712840528980,0.18940371,-0.59489715,-1.2531071
ugur,1,2018-03-29 22:04:55,1712788481897,-0.08500117,-0.9307376,-1.2464437
ugur,1,2018-03-29 22:04:55,1712736142105,-0.022016287,-1.9163461,0.42144966
ugur,1,2018-03-29 22:04:55,1712684367626,0.31940186,-1.6753122,1.4744501
ugur,1,2018-03-29 22:04:55,1712627941272,0.05655563,-1.1224391,-0.58205986
ugur,1,2018-03-29 22:04:55,1712574616428,-1.0450003,-0.6656672,-2.3972912
ugur,1,2018-03-29 22:04:55,1712521989084,-0.92910826,-2.0835755,1.3098402
ugur,1,2018-03-29 22:04:55,1712469641064,0.7121617,-0.48051238,2.2263765
ugur,1,2018-03-29 22:04:55,1712417108407,1.0613562,-0.27904105,2.2678719
ugur,1,2018-03-29 22:04:55,1712363405699,0.6969336,0.18020177,1.1801853
ugur,1,2018-03-29 22:04:55,1712309489918,0.35430366,0.7964312,-0.69449997
ugur,1,2018-03-29 22:04:55,1712256313668,-0.3451749,0.12848097,0.0233078
ugur,1,2018-03-29 22:04:55,1712203235439,-0.8717468,-0.089573026,-0.6590071
ugur,1,2018-03-29 22:04:55,1712149090334,-0.9479579,0.080501795,-1.0633326
ugur,1,2018-03-29 22:04:55,1712094976949,-0.83396566,0.14331186,-1.670785
ugur,1,2018-03-29 22:04:55,1712040873303,-0.6982591,-0.09911835,-1.7441053
ugur,1,2018-03-29 22:04:55,1711987703564,-0.35025227,-1.0545382,-0.6660986
ugur,1,2018-03-29 22:04:55,1711935253720,1.3621591,-1.1717685,0.50934315
ugur,1,2018-03-29 22:04:55,1711879162105,0.62905777,-0.31070173,-0.12286568
ugur,1,2018-03-29 22:04:55,1711825661585,0.9847896,-1.0638256,4.0277824
ugur,1,2018-03-29 22:04:55,1711773556585,0.2625878,0.4967203,1.5289135
ugur,1,2018-03-29 22:04:55,1711721237470,-0.07743275,0.43905616,1.3329067
ugur,1,2018-03-29 22:04:55,1711667959710,-0.4798137,0.30647385,0.73893833
ugur,1,2018-03-29 22:04:55,1711614537887,-0.7960936,0.14844131,-0.5552921
ugur,1,2018-03-29 22:04:55,1711561566116,-0.27136588,0.029261231,-1.4970989
ugur,1,2018-03-29 22:04:55,1711507693251,-0.11713368,0.31599736,-2.8817663
ugur,1,2018-03-29 22:04:55,1711452868564,-0.104872406,-0.14589775,-2.9134798
ugur,1,2018-03-29 22:04:55,1711398679449,0.37296832,-1.0742352,-0.5712786
ugur,1,2018-03-29 22:04:55,1711345895804,-0.134292,-1.7089376,0.9012289
ugur,1,2018-03-29 22:04:55,1711294442314,-0.57765716,-1.1569463,-0.7949228
ugur,1,2018-03-29 22:04:55,1711242958877,-0.5374071,-0.87082684,0.3043928
